CellType,CpdName,IC50,Concentration1,Concentration2,Concentration3,Concentration4,Concentration5,Concentration6,Concentration7,Concentration8,Concentration9
Breast,ZT-02-092-01,4.770444,0.7979,0.8731,0.9093,0.8773,0.8293,0.8379,0.9766,1.0615,1.1334
Breast,ZT-02-092-01,4.560567,0.8787,0.8165,0.9252,0.8467,0.9345,0.9976,0.993,1.1058,1.0607
Breast,ZT-02-092-01,3.107012,0.6515,0.6657,0.725,0.7595,0.7726,0.8712,0.9748,0.9841,1.0014
Breast,ZT-02-092-01,1.09048,0.4506,0.5078,0.5279,0.5579,0.5314,0.5917,0.8987,0.9794,1.1239
Breast,ZT-02-092-01,0.967117,0.6669,0.5092,0.496,0.4579,0.6756,0.6649,0.8473,0.9573,1.1729
Breast,ZT-02-092-01,0.99204,0.4968,0.5196,0.5757,0.4274,0.5011,0.5633,0.6323,0.9436,1.0961
Breast,ZT-02-092-01,0.209846,0.496,0.4593,0.4539,0.4328,0.3775,0.4312,0.5267,0.781,0.9132
Breast,ZT-02-092-01,3.252263,0.647,0.6462,0.7068,0.7106,0.8389,0.7148,0.8415,0.8551,0.9648
Breast,ZT-02-092-01,1.874945,0.4799,0.6446,0.6838,0.6398,0.7168,0.7042,0.8741,1.0136,1.0528
Breast,ZT-02-092-01,2.396188,0.6048,0.5789,0.6753,0.6699,0.6063,0.8576,0.895,1.0634,1.1256
Leukemia,ZT-02-092-01,-0.743385,0.1988,0.1914,0.1885,0.2084,0.339,0.655,0.9288,0.929,0.9676
Breast,ZT-02-092-01,4.572829,0.8472,0.8096,0.7836,0.6523,0.7879,0.7915,1.0982,1.0867,1.111
Breast,ZT-02-092-01,3.249173,0.6928,0.7655,0.8247,0.9134,0.9629,0.8772,0.9949,0.9109,0.9719
Breast,ZT-02-092-01,4.193577,0.7602,0.7284,0.7644,0.7089,0.742,0.8247,0.854,0.9718,1.0195
Breast,ZT-02-092-01,3.548751,0.6777,0.7713,0.7921,0.8246,0.8385,0.8724,0.9094,1.0389,1.0983
Breast,ZT-02-092-01,-0.065809,0.3889,0.3438,0.3329,0.3281,0.3644,0.6337,0.9042,0.9066,0.996
Breast,ZT-02-092-01,3.263947,0.7145,0.7631,0.8443,0.8904,0.974,0.9433,0.9712,0.9081,1.0893
Breast,ZT-02-092-01,3.243877,0.6718,0.7378,0.7157,0.7676,0.7665,0.7687,0.8803,0.919,1.0513
Breast,ZT-02-092-01,2.640838,0.6469,0.6907,0.679,0.7965,0.7567,0.8359,0.8714,0.8909,1.0677
Breast,ZT-02-092-01,2.969244,0.6142,0.6553,0.6854,1.0341,0.7574,0.7019,1.0637,0.9222,0.9229
Breast,ZT-02-092-01,-1.085424,0.1266,0.1869,0.1835,0.259,0.3482,0.3066,0.8098,0.9691,0.9739
Breast,ZT-02-092-01,1.443197,0.4596,0.536,0.567,0.5751,0.6125,0.7342,0.903,1.0483,1.089
Breast,ZT-02-092-01,3.983779,0.7381,0.7284,0.7975,0.7542,0.7289,0.7525,0.9842,1.0416,1.0265
Breast,ZT-02-092-01,4.418212,0.8438,0.8445,0.8939,0.9255,0.9013,1.0408,1.0588,1.0236,1.0688
Breast,ZT-02-092-01,1.728472,0.5151,0.5437,0.5494,0.5027,0.7503,0.8544,0.9388,0.9702,0.9842
Breast,ZT-02-092-01,2.376641,0.5326,0.6646,0.7338,0.7318,0.7169,0.7592,0.9181,1.0533,1.0464
Breast,ZT-02-092-01,2.479277,0.6255,0.6136,0.6139,0.576,0.6366,0.7286,0.8278,0.9303,1.0971
Breast,ZT-02-092-01,1.14713,0.3825,0.5091,0.5685,0.4754,0.4865,0.384,0.7578,1.0599,1.0574
Breast,ZT-02-092-01,1.970496,0.5303,0.5088,0.6666,0.8033,0.7782,0.8377,0.9413,1.1484,0.9656
Breast,ZT-02-092-01,1.656378,0.5683,0.5965,0.6302,0.6008,0.6706,0.7219,0.7896,0.8789,0.9527
Breast,ZT-02-092-01,4.984444,0.8081,0.8689,0.7885,0.6974,0.6014,0.8687,0.9196,0.9729,1.0457
Breast,ZT-02-092-01,-1.794708,0.2595,0.2108,0.1949,0.2007,0.2025,0.254,0.5145,0.7584,1.0207
Breast,ZT-02-092-01,1.600236,0.5039,0.5164,0.5712,0.6979,0.6146,0.7329,0.8258,1.058,0.9874
Breast,ZT-02-092-01,0.771763,0.3734,0.5043,0.5703,0.7042,0.7835,0.6949,0.7957,0.8438,1.0058
Breast,ZT-02-092-01,-1.731403,0.0922,0.0864,0.0924,0.0952,0.0932,0.2401,0.5771,0.8965,1.0591
Breast,ZT-02-092-01,4.223583,0.7692,0.8737,0.8237,0.8798,1.065,0.8409,0.9047,0.9767,1.0768
Breast,ZT-02-092-01,1.224349,0.5695,0.5322,0.5261,0.568,0.5245,0.8207,0.9429,0.9832,0.9932
Breast,ZT-02-092-01,4.251028,0.7244,0.9977,0.5628,0.9422,0.9936,0.4741,0.7431,0.8808,1.0923
Breast,ZT-02-092-01,4.000322,0.7245,0.7714,0.8104,0.8173,0.8388,0.8795,0.9543,1.0174,1.0096
Breast,ZT-02-092-01,2.616499,0.5648,0.7157,0.8572,0.8368,0.8006,0.9292,0.9059,1.0322,1.1707
Breast,ZT-02-092-01,3.466807,0.6972,0.8068,0.7208,0.7056,0.7065,0.9362,1.0554,1.058,1.1882
Breast,ZT-02-092-01,1.296244,0.3962,0.3725,0.3457,0.2747,0.3446,0.8858,1.0264,1.0934,1.0565
Leukemia,ZT-02-092-01,-1.465283,0.095,0.0825,0.0805,0.0759,0.1125,0.3782,0.7293,0.86,1.0942
Breast,ZT-02-092-01,4.345274,0.7611,0.8001,0.8401,0.8733,0.9039,0.9618,0.9698,1.0035,1.0648
Breast,ZT-02-092-01,3.223022,0.6699,0.6624,0.6728,0.696,0.8093,0.8632,0.8688,0.9658,0.9782
Breast,ZT-02-092-01,1.104646,0.4155,0.4356,0.3984,0.3786,0.3951,0.4968,0.8944,0.955,0.9823
Breast,ZT-02-092-01,0.196082,0.3766,0.4061,0.4738,0.5433,0.6701,0.6444,0.7823,1.0477,1.1104
Breast,ZT-02-092-01,7.139501,1.1964,1.0953,1.0301,1.1387,1.0317,1.0463,0.9882,1.0101,1.035
Breast,ZT-02-092-01,6.60023,0.9937,0.9806,1.0234,1.0189,1.0374,1.0263,1.0226,1.0165,1.0313
Breast,ZT-02-092-01,3.756636,0.7209,0.7224,0.8344,0.8451,0.7945,0.8746,0.9751,1.0591,1.0525
Breast,ZT-02-092-01,2.145974,0.268,0.5973,0.6061,0.6817,0.804,0.7394,0.7588,0.9115,0.9848
Breast,ZT-02-092-01,3.742221,0.8256,0.7348,0.7179,0.679,0.7409,0.8303,0.9675,0.9378,1.1152
Breast,ZT-02-092-01,-3.106719,0.2173,0.1675,0.1867,0.2047,0.2467,0.3158,0.467,0.8834,1.124
Breast,ZT-02-092-01,3.737897,0.7105,0.7534,0.8268,0.9098,0.7581,0.883,0.8662,1.0699,1.152
Cervix,ZT-02-092-01,1.318169,0.4198,0.511,0.4932,0.6121,0.743,0.876,0.8999,0.9833,1.0166
Cervix,ZT-02-092-01,5.794729,0.9343,0.9126,0.8939,0.8679,0.8571,0.9096,0.889,0.9158,1.0612
Cervix,ZT-02-092-01,0.363201,0.2583,0.3077,0.2281,0.3124,0.6148,0.8017,0.8339,1.0143,1.0298
Cervix,ZT-02-092-01,2.194852,0.5298,0.6053,0.6702,0.6755,0.6738,0.8324,0.9177,1.0068,1.0379
Cervix,ZT-02-092-01,4.623165,0.8177,0.8859,0.7864,0.7968,0.7765,0.9689,0.9799,0.9701,1.0205
Cervix,ZT-02-092-01,1.156076,0.4291,0.4496,0.4608,0.6001,0.7328,0.9673,0.8827,0.9945,0.9387
Cervix,ZT-02-092-01,-0.594596,0.1185,0.1802,0.2508,0.2396,0.3109,0.4885,0.8284,1.0303,1.0672
Cervix,ZT-02-092-01,2.851307,0.8088,0.6621,0.6774,0.6719,0.8076,1.0342,1.0136,0.9011,1.0409
Vulva,ZT-02-092-01,2.199921,0.5519,0.5709,0.6467,0.6593,0.7214,0.6481,0.8877,1.0155,1.0511
Cervix,ZT-02-092-01,0.144236,0.2632,0.2681,0.309,0.332,0.6584,0.7534,0.8649,0.9548,1.0617
Cervix,ZT-02-092-01,0.543222,0.4135,0.4626,0.4434,0.4681,0.4845,0.598,0.8643,1.054,0.9699
Cervix,ZT-02-092-01,1.737936,0.4905,0.5318,0.6105,0.6031,0.6747,0.7245,0.8838,1.1474,0.921
Cervix,ZT-02-092-01,6.012622,0.957,0.9184,0.9149,0.915,0.9046,0.9875,0.9196,0.9644,0.9382
Esophagus,ZT-02-092-01,3.286804,0.6192,0.7065,0.6615,0.7399,0.6315,0.6742,0.8465,1.1358,1.1202
Esophagus,ZT-02-092-01,2.454628,0.5865,0.5709,0.7073,0.5876,0.6031,0.5941,0.7556,0.9392,1.1241
Esophagus,ZT-02-092-01,1.12573,0.403,0.4956,0.4926,0.6556,0.6413,0.7124,0.7244,1.0805,1.062
Esophagus,ZT-02-092-01,2.21721,0.4372,0.6769,0.7749,0.718,0.877,0.7205,0.8815,1.0047,1.0702
Esophagus,ZT-02-092-01,6.132234,0.818,0.8505,0.8886,0.8667,0.8675,0.8595,0.9152,0.9749,1.0047
Esophagus,ZT-02-092-01,-0.107896,0.2812,0.3372,0.3502,0.3757,0.5226,0.7188,0.763,1.0083,1.1051
Esophagus,ZT-02-092-01,0.328484,0.4313,0.455,0.5291,0.5435,0.4823,0.4502,0.602,0.9859,1.1049
Esophagus,ZT-02-092-01,5.864138,0.898,0.8486,0.9197,0.8949,0.884,0.818,0.8928,0.9469,1.0645
Esophagus,ZT-02-092-01,-0.343313,0.4264,0.3509,0.3914,0.4403,0.3763,0.4182,0.6817,0.9581,1.0286
Esophagus,ZT-02-092-01,1.741848,0.4862,0.6184,0.5477,0.5862,0.5629,0.5609,0.6953,1.0215,1.1705
Esophagus,ZT-02-092-01,5.539481,0.6906,0.7215,0.793,0.7571,0.726,0.6944,0.8232,0.851,0.8537
Esophagus,ZT-02-092-01,3.362997,0.6587,0.7005,0.7557,0.8244,0.875,0.8323,0.9287,1.0393,1.0187
Esophagus,ZT-02-092-01,4.868625,0.8158,0.825,0.8439,0.8466,0.9312,0.9615,1.0017,0.9925,1.054
Esophagus,ZT-02-092-01,1.346201,0.4278,0.5086,0.4777,0.7128,0.7447,0.7062,0.8082,0.8855,1.0421
Esophagus,ZT-02-092-01,2.462042,0.6788,0.6367,0.6292,0.6064,0.7074,0.6745,1.0542,0.9216,1.0269
Esophagus,ZT-02-092-01,2.394397,0.5509,0.6275,0.6044,0.581,0.6962,0.6351,0.9061,1.0251,1.042
Head & Neck,ZT-02-092-01,-0.82227,0.2324,0.2098,0.2817,0.3559,0.4009,0.5283,1.0285,0.8346,1.0823
Head & Neck,ZT-02-092-01,1.814674,0.5378,0.5818,0.5225,0.6432,0.6146,0.7512,0.7667,1.0549,1.0542
Head & Neck,ZT-02-092-01,-0.583237,0.3612,0.2745,0.322,0.3358,0.3703,0.5257,0.815,1.0243,1.0775
Head & Neck,ZT-02-092-01,3.533536,0.6478,0.6877,0.7551,0.6287,0.7638,0.7755,0.9581,0.8778,1.0382
Head & Neck,ZT-02-092-01,0.182849,0.3068,0.3752,0.3501,0.3324,0.3296,0.5342,0.76,1.0547,1.0121
Head & Neck,ZT-02-092-01,-0.880287,0.1998,0.1807,0.2115,0.2537,0.3833,0.856,0.7948,0.9323,0.9492
Head & Neck,ZT-02-092-01,0.624213,0.3508,0.8284,0.4917,0.4053,0.6196,0.6871,0.811,0.9272,0.9345
Head & Neck,ZT-02-092-01,-0.396094,0.281,0.3025,0.3446,0.3225,0.425,0.5235,0.8825,1.0882,1.085
Head & Neck,ZT-02-092-01,3.408276,0.7286,0.9786,0.7219,0.7778,0.7979,0.8366,0.967,0.9927,0.9644
Head & Neck,ZT-02-092-01,1.007993,0.4528,0.5215,0.4906,0.52,0.6301,0.6882,0.8017,0.907,1.0194
Head & Neck,ZT-02-092-01,1.239676,0.265,1.0243,0.2647,0.2851,0.4528,0.7346,1.0082,1.0782,0.9416
Head & Neck,ZT-02-092-01,2.082854,0.5141,0.602,0.6337,0.6629,0.6813,0.6607,0.9416,0.9746,0.9946
Head & Neck,ZT-02-092-01,-0.066896,0.3355,0.3584,0.3854,0.3913,0.4575,0.6341,0.8744,1.0025,1.0077
Head & Neck,ZT-02-092-01,-0.882442,0.2261,0.1712,0.1486,0.1436,0.1817,0.2627,0.706,0.9427,0.9034
Head & Neck,ZT-02-092-01,1.229652,0.523,0.5377,0.5298,0.5506,0.5292,0.601,0.7676,0.9648,1.0235
Head & Neck,ZT-02-092-01,0.245872,0.3429,0.6115,0.4129,0.5113,0.6248,0.6747,0.6292,1.012,1.068
Head & Neck,ZT-02-092-01,2.646886,0.6573,0.8982,0.6426,0.6495,0.6499,0.7513,0.8923,0.9495,1.0164
Head & Neck,ZT-02-092-01,0.367594,0.4637,0.3731,0.4164,0.4034,0.5508,0.8619,0.9583,0.9089,1.1119
Head & Neck,ZT-02-092-01,3.69008,0.709,0.7723,0.6809,0.7032,0.6883,0.7765,0.9246,1.0782,1.0245
Head & Neck,ZT-02-092-01,1.309647,0.4446,0.524,0.5692,0.6193,0.6008,0.6707,0.7169,0.9039,1.0369
Head & Neck,ZT-02-092-01,0.0831,0.3578,0.4185,0.4544,0.5289,0.5263,0.531,0.7149,0.9408,1.0225
Head & Neck,ZT-02-092-01,2.545222,0.6335,0.6373,0.5427,0.5209,0.436,0.499,0.8615,0.9632,1.0719
Head & Neck,ZT-02-092-01,5.176395,0.8431,0.893,0.9197,0.9551,0.9274,0.9379,0.9549,0.9752,0.9635
Head & Neck,ZT-02-092-01,2.906948,0.5912,0.6873,0.5916,0.768,0.7704,0.7682,0.922,0.9142,0.915
Head & Neck,ZT-02-092-01,-0.483863,0.3517,0.695,0.3259,0.3715,0.4461,0.5969,0.7984,1.0275,1.0427
Head & Neck,ZT-02-092-01,1.097853,0.4027,0.368,0.3671,0.3503,0.5174,0.8541,1.0299,1.0217,1.09
Head & Neck,ZT-02-092-01,2.870892,0.6527,0.9951,0.6017,0.7005,0.7953,0.9162,0.9047,0.9907,1.0948
Head & Neck,ZT-02-092-01,-0.570465,0.3324,0.8789,0.2972,0.3845,0.4342,0.5578,0.8876,1.0157,1.0415
Head & Neck,ZT-02-092-01,1.479941,0.4233,0.5466,0.6107,0.5695,0.6614,0.7718,0.8801,1.0636,1.083
Head & Neck,ZT-02-092-01,3.655967,0.6724,0.8748,0.7786,0.8576,0.9406,0.8186,0.9596,1.0078,1.0745
Head & Neck,ZT-02-092-01,3.658345,0.665,0.8687,0.7701,0.8057,0.8202,0.836,0.9807,1.1258,1.0275
Head & Neck,ZT-02-092-01,4.132782,0.7061,0.8498,0.7681,0.7982,0.8376,0.8221,0.9482,0.9481,0.9914
Head & Neck,ZT-02-092-01,4.308062,0.3256,0.9043,0.2854,0.2188,0.2531,0.4855,0.9824,0.9883,1.0931
Muscle,ZT-02-092-01,0.027346,0.2876,0.3142,0.4037,0.3407,0.3602,0.4845,0.7209,0.9401,1.0043
Intestine,ZT-02-092-01,4.326554,0.7827,0.8396,0.9225,0.8902,0.8774,0.9805,0.9782,0.9746,1.017
Intestine,ZT-02-092-01,0.680261,0.2721,0.3052,0.2674,0.2981,0.4234,0.8028,1.045,1.098,1.1365
Intestine,ZT-02-092-01,4.565161,0.7522,0.6258,0.841,0.5259,0.7235,0.7517,0.8888,0.7999,0.9044
Intestine,ZT-02-092-01,1.704646,0.4746,0.5515,0.524,0.4225,0.4741,0.3566,0.6912,0.9373,0.9786
Intestine,ZT-02-092-01,3.498637,0.7316,0.7201,0.6965,0.6049,0.6075,0.6944,0.9478,1.0111,1.1118
Intestine,ZT-02-092-01,2.841997,0.6614,0.649,0.6417,0.6153,0.6039,0.7616,0.8912,0.9386,1.0479
Intestine,ZT-02-092-01,5.360594,0.8987,0.9224,0.946,0.9808,0.9966,0.9081,0.9802,0.9446,1.1534
Intestine,ZT-02-092-01,3.743957,0.9362,0.7878,0.7937,0.8885,0.9235,0.8771,1.1061,0.9588,1.0164
Intestine,ZT-02-092-01,-0.513792,0.3849,0.4172,0.4684,0.4094,0.4876,0.5699,0.9764,1.0691,1.0835
Intestine,ZT-02-092-01,5.008713,0.8818,0.8869,0.9047,0.9077,0.9706,0.9875,1.0939,0.915,1.0637
Intestine,ZT-02-092-01,0.308059,0.2242,0.2417,0.1968,0.2031,0.3185,0.7101,1.0476,1.088,1.1344
Intestine,ZT-02-092-01,-0.431954,0.2039,0.1823,0.181,0.1974,0.4864,0.7794,0.8893,1.0009,1.0455
Intestine,ZT-02-092-01,3.238206,0.8083,0.7399,0.7359,0.8944,0.9022,0.8848,1.0649,1.0033,1.0608
Intestine,ZT-02-092-01,0.344434,0.1762,0.3138,0.3959,0.5349,0.4944,0.5221,0.9282,1.0291,1.0537
Leukemia,ZT-02-092-01,-1.367978,0.0841,0.1172,0.1281,0.1807,0.3854,0.4398,0.594,0.9834,1.0178
Intestine,ZT-02-092-01,-0.130499,0.3929,0.3681,0.3565,0.437,0.4643,0.6656,0.9949,0.9069,1.0505
Intestine,ZT-02-092-01,3.580741,0.6834,0.8074,0.8275,0.7952,0.8432,0.893,0.9816,1.1405,1.106
Intestine,ZT-02-092-01,2.97036,0.666,0.6438,0.672,0.7164,0.7892,0.7681,1.1111,0.9608,1.1224
Intestine,ZT-02-092-01,-0.032303,0.3115,0.3543,0.3619,0.467,0.5417,0.7465,1.0192,1.0793,1.0476
Intestine,ZT-02-092-01,4.013197,0.7957,0.9222,0.9362,0.9238,0.9506,1.0379,1.0297,0.9782,0.9781
Intestine,ZT-02-092-01,3.819589,0.765,0.7538,0.9661,0.8606,0.8527,0.9978,0.9977,1.0923,1.0001
Intestine,ZT-02-092-01,4.288196,0.7385,0.8727,0.8239,0.8649,0.8242,0.9118,0.9826,1.0059,1.0753
UrinaryTrack,ZT-02-092-01,0.70644,0.5366,0.5302,0.4117,0.2569,0.2399,0.4135,0.7464,0.8837,1.0351
Lymphoma,ZT-02-092-01,-0.83405,0.1396,0.1546,0.1499,0.2091,0.4215,0.6488,0.8287,1.0039,1.101
Intestine,ZT-02-092-01,1.528701,0.4748,0.4766,0.4735,0.3595,0.3208,0.5437,0.9213,1.1186,0.9815
Intestine,ZT-02-092-01,2.914109,0.6259,0.6608,0.6946,0.767,0.7758,0.8898,0.8983,1.0078,1.0506
Intestine,ZT-02-092-01,3.409303,0.6935,0.7691,0.8432,0.8839,0.8725,0.9254,0.9949,1.1519,1.0208
Intestine,ZT-02-092-01,3.190869,0.6634,0.6584,0.7816,0.7618,0.8189,0.8678,1.026,1.0491,0.9906
Intestine,ZT-02-092-01,1.470666,0.4657,0.5208,0.5857,0.6084,0.7952,0.9309,1.034,1.0791,1.0252
Intestine,ZT-02-092-01,0.687697,0.2293,0.3408,0.4131,0.6653,0.7908,0.7735,0.9154,1.0648,1.0185
Lymphoma,ZT-02-092-01,-1.471025,0.154,0.1914,0.2492,0.3098,0.3112,0.2272,0.3501,0.7274,1.0627
Intestine,ZT-02-092-01,4.663082,1.0555,0.8533,0.8506,0.9121,0.9099,0.9828,0.977,0.9957,0.9679
Kidney,ZT-02-092-01,2.576868,0.5762,0.6647,0.6385,0.5978,0.6032,0.7224,0.8557,0.884,1.0259
Kidney,ZT-02-092-01,3.357394,0.7096,0.6648,0.8242,0.8582,0.9146,0.8646,1.02,0.9823,1.0381
Kidney,ZT-02-092-01,-1.982294,0.2147,0.2743,0.2673,0.2974,0.4053,0.4016,0.9872,1.1726,1.1376
Kidney,ZT-02-092-01,0.550704,0.4404,0.3607,0.4011,0.3166,0.3541,0.711,1.0158,1.0451,1.0645
Lymphoma,ZT-02-092-01,-0.801082,0.2674,0.1876,0.2184,0.2015,0.2134,0.4513,0.834,0.8687,1.1494
Kidney,ZT-02-092-01,1.006206,0.42,0.498,0.5111,0.4944,0.5132,0.5425,0.8967,0.9812,0.9403
Kidney,ZT-02-092-01,0.346178,0.3488,0.3753,0.4248,0.5327,0.5306,0.502,0.8037,0.9836,1.0124
Kidney,ZT-02-092-01,-3.954791,0.1183,0.1175,0.1297,0.1593,0.1757,0.2187,0.3445,0.7669,0.9471
Kidney,ZT-02-092-01,4.137519,0.7389,0.7421,0.7457,0.7573,0.7534,0.8386,0.9734,1.0024,1.0011
Kidney,ZT-02-092-01,3.512818,0.7316,0.7217,0.7044,0.7993,0.8097,0.8531,1.0716,1.0399,1.2004
Kidney,ZT-02-092-01,2.547104,0.5691,0.6015,0.681,0.7357,0.7458,0.8725,0.8956,0.9381,1.1058
Kidney,ZT-02-092-01,2.017033,0.5088,0.5647,0.9539,0.6849,0.7204,0.9133,0.9786,0.978,1.0676
Kidney,ZT-02-092-01,1.937808,0.5339,0.6052,0.5771,0.6105,0.6606,0.7492,1.0198,1.0464,1.0642
Kidney,ZT-02-092-01,0.098166,0.2788,0.3688,0.3668,0.4437,0.5613,0.6975,0.9407,0.9835,1.0835
Nervous System,ZT-02-092-01,-0.653367,0.2223,0.3889,0.3392,0.2332,0.322,0.9943,0.7012,0.7813,0.6217
Nervous System,ZT-02-092-01,-1.740033,0.4964,0.324,0.3249,0.2683,0.2785,0.3265,0.6127,0.5773,0.7116
Kidney,ZT-02-092-01,2.81448,0.6341,0.6748,0.6569,0.6913,0.7409,0.9732,1.1481,0.8876,1.1838
Kidney,ZT-02-092-01,4.463017,0.7466,0.9394,0.8016,0.7594,0.7703,0.8839,0.9743,0.9433,1.0242
Kidney,ZT-02-092-01,0.824428,0.4815,0.4471,0.4559,0.387,0.456,0.6432,0.9122,1.02,0.9662
Nervous System,ZT-02-092-01,0.861506,0.4653,0.4875,0.5322,0.541,0.5958,0.5975,0.6306,0.7739,1.02
Kidney,ZT-02-092-01,2.649356,0.6157,0.6301,0.6654,0.6548,0.8125,0.96,0.934,0.9688,1.1092
Kidney,ZT-02-092-01,2.424204,0.5504,0.6678,0.5818,0.9159,0.8493,0.9449,1.1111,1.0969,1.075
Nervous System,ZT-02-092-01,-1.550962,0.0856,0.1452,0.1274,0.1714,0.1747,0.4235,0.6089,0.8213,0.9395
Liver,ZT-02-092-01,4.209228,0.7502,0.7722,0.7787,0.8619,0.8253,0.9628,0.9611,0.994,1.0023
Liver,ZT-02-092-01,5.187323,0.8186,0.8443,0.842,0.8598,0.8929,0.921,0.9961,0.9862,0.9513
Liver,ZT-02-092-01,1.393481,0.4835,0.5186,0.4942,0.6168,0.6249,0.7822,0.9647,0.9907,1.0094
Liver,ZT-02-092-01,0.104411,0.3639,0.4334,0.3931,0.4095,0.4714,0.5772,0.8291,0.9621,0.9919
Liver,ZT-02-092-01,4.58817,0.2246,0.946,0.3128,0.2388,0.3835,0.6269,0.9366,0.9877,1.0016
Liver,ZT-02-092-01,0.209229,0.442,0.4226,0.3765,0.4883,0.652,0.7794,0.918,0.976,1.057
Liver,ZT-02-092-01,-1.377599,0.2852,0.3047,0.3324,0.3484,0.3818,0.508,0.6806,0.7322,0.7468
Liver,ZT-02-092-01,3.080149,0.6661,0.708,0.689,0.7401,0.6395,0.7764,1.0487,1.0317,1.052
Biliary Tract,ZT-02-092-01,4.316182,0.7652,0.7857,0.818,0.8172,0.8339,0.7975,0.8638,0.9879,1.1401
Liver,ZT-02-092-01,1.648083,0.4435,0.5386,0.5829,0.7286,0.6939,0.867,0.8787,0.8869,1.0376
Liver,ZT-02-092-01,-0.543917,0.2426,0.256,0.2751,0.3534,0.4232,0.6737,0.8931,0.932,0.9929
Liver,ZT-02-092-01,0.686874,0.5702,0.4706,0.4876,0.5115,0.5488,0.7305,0.9515,0.9094,1.0795
Liver,ZT-02-092-01,2.3677,0.5819,0.62,0.5828,0.7006,0.7005,0.9784,0.9288,0.9988,1.041
Liver,ZT-02-092-01,1.156942,0.4824,0.8714,0.5127,0.5844,0.573,0.7448,0.8611,0.9039,1.1241
Liver,ZT-02-092-01,0.250304,0.3465,0.3995,0.382,0.4117,0.596,0.6631,0.865,0.914,0.9291
Liver,ZT-02-092-01,2.545963,0.8329,0.6876,0.6736,0.6285,0.7459,0.9038,1.0059,0.9347,0.992
Biliary Tract,ZT-02-092-01,0.346802,0.403,0.4448,0.4886,0.4939,0.5133,0.6692,0.7591,0.9394,1.0224
Liver,ZT-02-092-01,2.260099,0.5812,0.6075,0.6088,0.6147,0.6464,0.7377,0.8597,1.038,1.1003
Liver,ZT-02-092-01,0.400379,0.2438,0.2369,0.2533,0.2591,0.3313,0.8716,0.9265,1.0091,1.0914
Lung,ZT-02-092-01,0.937401,0.3112,0.2508,0.2526,0.3151,0.3971,0.6341,0.916,0.9924,1.0691
Lung,ZT-02-092-01,-1.049689,0.2263,0.1957,0.1877,0.1902,0.228,0.5413,0.7443,0.9072,0.9324
Lung:NSCLC,ZT-02-092-01,5.075162,0.8083,0.8311,1.0521,0.8651,0.8739,0.9263,0.9892,0.9929,1.0426
Lung:NSCLC,ZT-02-092-01,4.810262,0.8543,0.8762,0.7948,0.8283,0.8478,0.9976,0.9463,0.8509,1.0197
Lung:NSCLC,ZT-02-092-01,2.168849,0.5329,0.5727,0.9473,0.6037,0.7549,0.7926,0.8372,0.958,1.0052
Leukemia,ZT-02-092-01,-1.11753,0.0684,0.0604,0.06,0.0622,0.0621,0.1935,0.815,0.9814,1.0102
Lung:NSCLC,ZT-02-092-01,3.50696,0.6929,0.7501,0.7507,0.7599,0.6754,0.7952,1.1293,1.0485,1.0626
Pleura,ZT-02-092-01,2.338434,0.5519,0.6571,0.6471,0.6754,0.8246,0.9475,1.0286,1.0289,1.1578
Lung:NSCLC,ZT-02-092-01,0.3655,0.3789,0.4073,0.4344,0.5143,0.4807,0.621,0.8911,0.9314,1.1094
Lung,ZT-02-092-01,3.543832,0.7597,0.8859,0.919,0.9366,0.9898,1.089,1.0174,0.9947,1.0671
Lung,ZT-02-092-01,2.602622,0.7872,0.727,0.6969,0.759,0.8113,0.9038,0.9787,0.9716,1.0337
Lung,ZT-02-092-01,1.159375,0.6419,0.503,0.5322,0.5749,0.7094,0.937,0.9243,1.0578,0.9051
Lymphoma,ZT-02-092-01,-0.180657,0.309,0.3549,0.3392,0.4037,0.3994,0.5735,0.876,1.0424,1.0327
Lung,ZT-02-092-01,-0.162376,0.2657,0.4233,0.389,0.4148,0.4965,0.6383,0.826,0.9898,0.9649
Lung,ZT-02-092-01,5.099615,0.8955,0.9126,0.8975,0.8617,0.9945,1.0188,0.9764,1.0993,1.082
Lung,ZT-02-092-01,1.800436,0.5356,0.5272,0.566,0.4998,0.5697,0.9824,0.9556,1.0069,1.0054
Lung,ZT-02-092-01,-0.816823,0.3875,0.3455,0.3134,0.3039,0.3407,0.5318,0.7688,1.1409,1.1041
UrinaryTrack,ZT-02-092-01,2.073328,0.5697,0.5596,0.4861,0.5006,0.578,0.8556,1.0298,0.9538,1.0216
Lymphoma,ZT-02-092-01,3.865343,0.7624,0.7917,0.8298,0.8686,0.9448,0.9666,1.0535,1.0516,1.0276
Lung,ZT-02-092-01,0.504479,0.423,0.3475,0.3035,0.2814,0.5043,0.8319,0.8816,0.8717,0.9489
Lung,ZT-02-092-01,-0.614297,0.2283,0.275,0.2584,0.2437,0.2252,0.3862,0.6405,0.832,0.9639
Lung,ZT-02-092-01,0.311303,0.2823,0.2523,1.0897,0.4725,0.7119,0.7606,0.9829,1.0945,1.0951
Lung,ZT-02-092-01,-0.285683,0.2338,0.1886,0.1837,0.3683,0.5862,0.7686,0.9294,1.038,1.0846
Lung,ZT-02-092-01,5.13848,0.864,0.9473,0.9189,1.0393,0.9838,1.0256,1.0854,0.9196,0.9136
